from_Indicator,Relation,to_chemicals,CAS
Inorganic ammonium salts,INCLUDE,Ammonium ferrocyanide trihydrate,32108-79-5
Inorganic ammonium salts,INCLUDE,"Ammonium Tetrachloroaluminate, NH4AlCl4",7784-14-7
Inorganic ammonium salts,INCLUDE,Ammonium ferric chromate,7789/8/4
Inorganic ammonium salts,INCLUDE,"Ethanedioic acid, ammonium iron(3+) salt (3:3:1), trihydrate",13268-42-3
Inorganic ammonium salts,INCLUDE,"Sulfuric acid, ammonium iron(3+) salt (2:1:1), dodecahydrate",7783-83-7
Inorganic ammonium salts,INCLUDE,"Titanate(2-), bis[ethanedioato(2-)-O,O']oxo-, diammonium, monohydrate, (SP-5-21)-",10580-03-7
Inorganic ammonium salts,INCLUDE,Struvite [(NH4)Mg(PO4).6H2O],15490-91-2
Inorganic ammonium salts,INCLUDE,Ammonium iron bis(sulphate),10138-04-2
Inorganic ammonium salts,INCLUDE,Diammonium dioxalato(oxo)titanate,10580-02-6
Inorganic ammonium salts,INCLUDE,Ammonium wolframate,11120-25-5
Inorganic ammonium salts,INCLUDE,Diammonium tetraborate,12007-58-8
Inorganic ammonium salts,INCLUDE,Hexaammonium heptamolybdate,12027-67-7
Inorganic ammonium salts,INCLUDE,Ammonium wolframate,12028-06-7
Inorganic ammonium salts,INCLUDE,Tetramanganese nitride,12033-07-7
Inorganic ammonium salts,INCLUDE,Diammonium hexachlororhenate,12051-87-5
Inorganic ammonium salts,INCLUDE,Tetraammonium disodium vanadate,12055-09-3
Inorganic ammonium salts,INCLUDE,Ammonium iron tetrachloride,24411-12-9
Inorganic ammonium salts,INCLUDE,Diammonium hexabromoosmate(2-),24598-62-7
Inorganic ammonium salts,INCLUDE,Ammonium nickel trichloride,24640-21-9
Inorganic ammonium salts,INCLUDE,"Acetic acid, ammonium zinc salt",24846-92-2
Inorganic ammonium salts,INCLUDE,Diammonium aquapentachlororuthenate,25461-53-4
Inorganic ammonium salts,INCLUDE,Ammonium bismuth citrate,25530-63-6
Inorganic ammonium salts,INCLUDE,Triammonium diaquaoctachloro-μ-nitridodiruthenate(3-),27316-90-1
Inorganic ammonium salts,INCLUDE,Diammonium hexachloroosmate,12125-08-5
Inorganic ammonium salts,INCLUDE,Ammonium trivanadium octaoxide,12207-63-5
Inorganic ammonium salts,INCLUDE,Diammonium tetratungsten tridecaoxide,12398-61-7
Inorganic ammonium salts,INCLUDE,Tetraammonium hexamolybdate,12411-64-2
Inorganic ammonium salts,INCLUDE,Ammonium molybdate(VI),13106-76-8
Inorganic ammonium salts,INCLUDE,Diammonium tetraoxotellurate,13453-06-0
Inorganic ammonium salts,INCLUDE,Ammonium dihydrogenarsenate,13462-93-6
Inorganic ammonium salts,INCLUDE,Ammonium chromium bis(sulphate),13548-43-1
Inorganic ammonium salts,INCLUDE,Diammonium lanthanum pentanitrate,13566-21-7
Inorganic ammonium salts,INCLUDE,Diammonium manganese bis(sulphate),13566-22-8
Inorganic ammonium salts,INCLUDE,Ammonium diamminetetrakis(thiocyanato-N)chromate(1-),13573-16-5
Inorganic ammonium salts,INCLUDE,Diammonium copper(2+) disulphate,13587-25-2
Inorganic ammonium salts,INCLUDE,Diammonium cobalt bis(sulphate),13596-46-8
Inorganic ammonium salts,INCLUDE,Ammonium perrhenate,13598-65-7
Inorganic ammonium salts,INCLUDE,Diammonium gadolinium pentanitrate,13628-49-4
Inorganic ammonium salts,INCLUDE,Ammonium calcium trinitrate,13780-11-5
Inorganic ammonium salts,INCLUDE,Diammonium zinc disulphate,13814-87-4
Inorganic ammonium salts,INCLUDE,Diammonium tetrachloropalladate,13820-40-1
Inorganic ammonium salts,INCLUDE,Diammonium tetrachloroplatinate,13820-41-2
Inorganic ammonium salts,INCLUDE,Diammonium pentachloronitrosylruthenate,13820-58-1
Inorganic ammonium salts,INCLUDE,Bis(acetato-O)diamminecopper,13822-80-5
Inorganic ammonium salts,INCLUDE,Ammonium tetrafluoroborate,13826-83-0
Inorganic ammonium salts,INCLUDE,"Sulphuric acid, ammonium cerium salt",13840-04-5
Inorganic ammonium salts,INCLUDE,Ammonium pentafluorozirconate(1-),13859-62-6
Inorganic ammonium salts,INCLUDE,Ammonium sodium sulphate,13863-45-1
Inorganic ammonium salts,INCLUDE,Prussian blue,14038-43-8
Inorganic ammonium salts,INCLUDE,Triammonium trioxalatoferrate,14221-47-7
Inorganic ammonium salts,INCLUDE,Triammonium hexacyanoferrate,14221-48-8
Inorganic ammonium salts,INCLUDE,"Chromic acid, ammonium salt",14445-91-1
Inorganic ammonium salts,INCLUDE,Tetraammonium hexacyanoferrate,14481-29-9
Inorganic ammonium salts,INCLUDE,Ammonium cobalt phosphate,14590-13-7
Inorganic ammonium salts,INCLUDE,Ammonium iron tartrate,14635-18-8
Inorganic ammonium salts,INCLUDE,Diammonium cerium(4+) trisulphate,14638-69-8
Inorganic ammonium salts,INCLUDE,Diammonium tetrachlorozincate(2-),14639-97-5
Inorganic ammonium salts,INCLUDE,Triammonium pentachlorozincate(3-),14639-98-6
Inorganic ammonium salts,INCLUDE,Diammonium magnesium bis(sulphate),14727-95-8
Inorganic ammonium salts,INCLUDE,Beryllium diammonium tetrafluoride,14874-86-3
Inorganic ammonium salts,INCLUDE,Ammonium scandium(3+) disulphate,15091-94-8
Inorganic ammonium salts,INCLUDE,"Nitric acid, ammonium calcium salt",15245-12-2
Inorganic ammonium salts,INCLUDE,Ammonium trifluorohydroxyborate(1-),15283-48-4
Inorganic ammonium salts,INCLUDE,Triammonium hexachlororhodate,15336-18-2
Inorganic ammonium salts,INCLUDE,Diammonium yttrium pentanitrate,15552-06-4
Inorganic ammonium salts,INCLUDE,Ammonium manganese phosphate,15609-81-1
Inorganic ammonium salts,INCLUDE,Diammonium tetrachlorocuprate,15610-76-1
Inorganic ammonium salts,INCLUDE,Diammonium neodymium pentanitrate,15653-40-4
Inorganic ammonium salts,INCLUDE,Diammonium tetrabromopalladate(2-),15661-00-4
Inorganic ammonium salts,INCLUDE,Diammonium nickel bis(sulphate),15699-18-0
Inorganic ammonium salts,INCLUDE,Triammonium hexachloroiridate,15752-05-3
Inorganic ammonium salts,INCLUDE,Diammonium hexanitratocerate,16774-21-3
Inorganic ammonium salts,INCLUDE,Ammonium hexafluorosilicate,16919-19-0
Inorganic ammonium salts,INCLUDE,Ammonium hexafluorozirconate,16919-31-6
Inorganic ammonium salts,INCLUDE,Diammonium hexachloroplatinate,16919-58-7
Inorganic ammonium salts,INCLUDE,Diammonium hexachlorostannate,16960-53-5
Inorganic ammonium salts,INCLUDE,Ammonium hexafluorotitanate,16962-40-6
Inorganic ammonium salts,INCLUDE,Ammonium hexafluorogermanate(4),16962-47-3
Inorganic ammonium salts,INCLUDE,Triammonium heptafluorozirconate(3-),17250-81-6
Inorganic ammonium salts,INCLUDE,Ammonium hexabromoplatinate,17363-02-9
Inorganic ammonium salts,INCLUDE,"Tetraammonium uranyl tricarbonate, of uranium depleted in uranium-235",18077-77-5
Inorganic ammonium salts,INCLUDE,"Citric acid , ammonium nickel salt",18283-82-4
Inorganic ammonium salts,INCLUDE,Diammonium hexachlororuthenate,18746-63-9
Inorganic ammonium salts,INCLUDE,Diammonium hexachloropalladate,19168-23-1
Inorganic ammonium salts,INCLUDE,Diammonium hexakis(thiocyanato)platinate,19372-45-3
Inorganic ammonium salts,INCLUDE,Diammonium oxobis[sulphato(2-)-O]titanate(2-),19468-86-1
Inorganic ammonium salts,INCLUDE,"Sulphuric acid, ammonium magnesium salt",20861-69-2
Inorganic ammonium salts,INCLUDE,Ammonium samarium(3+) disulphate,21995-29-9
Inorganic ammonium salts,INCLUDE,Ammonium europium(3+) disulphate,21995-30-2
Inorganic ammonium salts,INCLUDE,Ammonium gadolinium(3+) disulphate,21995-31-3
Inorganic ammonium salts,INCLUDE,Ammonium lanthanum(3+) disulphate,21995-32-4
Inorganic ammonium salts,INCLUDE,Ammonium praseodymium(3+) disulphate,21995-33-5
Inorganic ammonium salts,INCLUDE,Ammonium neodymium(3+) disulphate,21995-34-6
Inorganic ammonium salts,INCLUDE,Ammonium bis(cyano-C)aurate,31096-40-9
Inorganic ammonium salts,INCLUDE,Ammonium tetrachloroaurate,31113-23-2
Inorganic ammonium salts,INCLUDE,"Citric acid, ammonium bismuth salt",31886-41-6
Inorganic ammonium salts,INCLUDE,Triammonium tris[carbonato(2-)-O]hydroxyzirconate(3-),32535-84-5
Inorganic ammonium salts,INCLUDE,Triammonium triiron tetracitrate,52336-55-7
Inorganic ammonium salts,INCLUDE,Diammonium tetracyanoplatinate,562-79-8
Inorganic ammonium salts,INCLUDE,Ammonium potassium tartrate,1114-14-3
Inorganic ammonium salts,INCLUDE,Ammonium iron(III) citrate,1185-57-5
Inorganic ammonium salts,INCLUDE,Triammonium iron(3+) trioxalate,2944-67-4
Inorganic ammonium salts,INCLUDE,"Ammonium bismuth(3+) 2-hydroxypropane-1,2,3-tricarboxylate(2:1:1)",6591-52-2
Inorganic ammonium salts,INCLUDE,Tetraammonium cerium tetrakis(sulphate),7637/3/8
Inorganic ammonium salts,INCLUDE,Ammonium selenite,7783-19-9
Inorganic ammonium salts,INCLUDE,Ammonium selenate,7783-21-3
Inorganic ammonium salts,INCLUDE,Diammonium diuranium heptaoxide,7783-22-4
Inorganic ammonium salts,INCLUDE,Triammonium hexafluoroaluminate,7784-19-2
Inorganic ammonium salts,INCLUDE,Aluminium ammonium bis(sulphate),7784-25-0
Inorganic ammonium salts,INCLUDE,Diammonium hydrogenarsenate,7784-44-3
Inorganic ammonium salts,INCLUDE,Ammonium chromate,7788-98-9
Inorganic ammonium salts,INCLUDE,Ammonium dichromate,7789/9/5
Inorganic ammonium salts,INCLUDE,Ammonium trioxovanadate,7803-55-6
Inorganic ammonium salts,INCLUDE,Diammonium iron bis(sulphate),10045-89-3
Inorganic ammonium salts,INCLUDE,Ammonium iron phosphate,10101-60-7
Inorganic ammonium salts,INCLUDE,Ammonium manganese(3+) diphosphate,10101-66-3
"(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl)silanetriol and any of its mono-, di- or tri-O-(alkyl) derivatives",INCLUDE,"Triethoxy(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl)silane",51851-37-7
"(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl)silanetriol and any of its mono-, di- or tri-O-(alkyl) derivatives",INCLUDE,"Trimethoxy(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl)silane",85857-16-5
Diisocyanates,INCLUDE,2-methyl-m-phenylene diisocyanate,1991/8/7
Diisocyanates,INCLUDE,"3,3'-dimethylbiphenyl-4,4'-diyl diisocyanate",91-97-4
Diisocyanates,INCLUDE,"4,4��-Methylenediphenyl diisocyanate",101-68-8
Diisocyanates,INCLUDE,4-methyl-m-phenylene diisocyanate,584-84-9
Diisocyanates,INCLUDE,Hexamethylene diisocyanate,822-06-0
Diisocyanates,INCLUDE,"2,2��-Methylenediphenyl diisocyanate",2536/5/2
Diisocyanates,INCLUDE,m-tolylidene diisocyanate,26471-62-5
Diisocyanates,INCLUDE,"1,5-naphthylene diisocyanate",3173-72-6
Diisocyanates,INCLUDE,"1,3-bis(isocyanatomethyl)benzene",3634-83-1
Diisocyanates,INCLUDE,"3-isocyanatomethyl-3,5,5-trimethylcyclohexyl isocyanate",4098-71-9
Diisocyanates,INCLUDE,"4,4'-methylenedicyclohexyl diisocyanate",5124-30-1
Diisocyanates,INCLUDE,"2,4��-Methylenediphenyl diisocyanate",5873-54-1
Diisocyanates,INCLUDE,"2,4,6-triisopropyl-m-phenylene diisocyanate",2162-73-4
Diisocyanates,INCLUDE,"1,3-bis(1-isocyanato-1-methylethyl)benzene",2778-42-9
Asbestos,INCLUDE,Asbestos,1332-21-4
Asbestos,INCLUDE,Actinolite,77536-66-4
Asbestos,INCLUDE,Amosite (Grunerite),12172-73-5
Asbestos,INCLUDE,Anthophyllite,77536-67-5
Asbestos,INCLUDE,Chrysotile,12001-29-5
Asbestos,INCLUDE,Crocidolite,12001-28-4
Asbestos,INCLUDE,Tremolite,77536-68-6
Azocolourants and Azodyes which form certain aromatic amines,INCLUDE,Biphenyl-4-ylamine,92-67-1
Azocolourants and Azodyes which form certain aromatic amines,INCLUDE,Benzidine,92-87-5
Azocolourants and Azodyes which form certain aromatic amines,INCLUDE,4-chloro-o-toluidine,95-69-2
Azocolourants and Azodyes which form certain aromatic amines,INCLUDE,2-naphthylamine,91-59-8
Azocolourants and Azodyes which form certain aromatic amines,INCLUDE,o-aminoazotoluene,97-56-3
Azocolourants and Azodyes which form certain aromatic amines,INCLUDE,5-nitro-o-toluidine,99-55-8
Azocolourants and Azodyes which form certain aromatic amines,INCLUDE,4-chloroaniline,106-47-8
Azocolourants and Azodyes which form certain aromatic amines,INCLUDE,4-methoxy-m-phenylenediamine,615-05-4
Azocolourants and Azodyes which form certain aromatic amines,INCLUDE,"4,4'-methylenedianiline",101-77-9
Azocolourants and Azodyes which form certain aromatic amines,INCLUDE,"3,3'-dichlorobenzidine",91-94-1
Azocolourants and Azodyes which form certain aromatic amines,INCLUDE,"3,3'-dimethoxybenzidine",119-90-4
Azocolourants and Azodyes which form certain aromatic amines,INCLUDE,"3,3'-dimethylbenzidine",119-93-7
Azocolourants and Azodyes which form certain aromatic amines,INCLUDE,"4,4'-methylenedi-o-toluidine",838-88-0
Azocolourants and Azodyes which form certain aromatic amines,INCLUDE,6-methoxy-m-toluidine,120-71-8
Azocolourants and Azodyes which form certain aromatic amines,INCLUDE,"4,4'-methylene-bis(2-chloroaniline)",101-14-4
Azocolourants and Azodyes which form certain aromatic amines,INCLUDE,"4,4'-oxydianiline",101-80-4
Azocolourants and Azodyes which form certain aromatic amines,INCLUDE,"4,4'-thiodianiline",139-65-1
Azocolourants and Azodyes which form certain aromatic amines,INCLUDE,o-toluidine,95-53-4
Azocolourants and Azodyes which form certain aromatic amines,INCLUDE,4-methyl-m-phenylenediamine,95-80-7
Azocolourants and Azodyes which form certain aromatic amines,INCLUDE,"2,4,5-trimethylaniline",137-17-7
Azocolourants and Azodyes which form certain aromatic amines,INCLUDE,o-anisidine,90-04-0
Azocolourants and Azodyes which form certain aromatic amines,INCLUDE,4-amino azobenzene,60-09- 3
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",INCLUDE,Brominated flame retardant which comes under notation of ISO 1043-4 code number FR(14)  [Aliphatic/alicyclic brominated compounds],-
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",INCLUDE,Brominated flame retardant which comes under notation of ISO 1043-4 code number FR(15)  [Aliphatic/alicyclic brominated compounds in combination with antimony compounds],-
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",INCLUDE,Brominated flame retardant which comes under notation of ISO 1043-4 code number FR(16)  [Aromatic brominated compounds excluding brominated diphenyl ether and biphenyls)],-
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",INCLUDE,Brominated flame retardant which comes under notation of ISO 1043-4 code number FR(17)  [Aromatic brominated compounds excluding brominated diphenyl ether and biphenyls) in combination with antimony compounds],-
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",INCLUDE,Brominated flame retardant which comes under notation of ISO 1043-4 code number FR(22)  [Aliphatic/alicyclic chlorinated and brominated compounds],-
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",INCLUDE,Brominated flame retardant which comes under notation of ISO 1043-4 code number FR(42)  [Brominated organic phosphorus compounds],-
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",INCLUDE,"Poly(2,6-dibromo-phenylene oxide)",69882-11-7
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",INCLUDE,Tetra-decabromo-diphenoxy-benzene,58965-66-5
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",INCLUDE,"1,2-Bis(2,4,6-tribromo-phenoxy) ethane",37853-59-1
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",INCLUDE,"3,5,3��,5��-Tetrabromo-bisphenol A (TBBPA)",79-94-7
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",INCLUDE,"TBBA, unspecified",30496-13-0
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",INCLUDE,TBBA-epichlorhydrin oligomer,40039-93-8
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",INCLUDE,TBBA-TBBA-diglycidyl-ether oligomer,70682-74-5
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",INCLUDE,TBBA carbonate oligomer,28906-13-0
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",INCLUDE,"TBBA carbonate oligomer, phenoxy end capped",94334-64-2
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",INCLUDE,"TBBA carbonate oligomer, 2,4,6-tribromo-phenol terminated",71342-77-3
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",INCLUDE,TBBA-bisphenol A-phosgene polymer,32844-27-2
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",INCLUDE,Brominated epoxy resin end-capped with tribromophenol,139638-58-7
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",INCLUDE,Brominated epoxy resin end-capped with tribromophenol,135229-48-0
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",INCLUDE,"TBBA-(2,3-dibromo-propyl-ether)",21850-44-2
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",INCLUDE,TBBA bis-(2-hydroxy-ethyl-ether),4162-45-2
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",INCLUDE,TBBA-bis-(allyl-ether),25327-89-3
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",INCLUDE,TBBA-dimethyl-ether,37853-61-5
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",INCLUDE,Tetrabromo-bisphenol S,39635-79-5
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",INCLUDE,"TBBS-bis-(2,3-dibromo-propyl-ether)",42757-55-1
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",INCLUDE,"2,4-Dibromo-phenol",615-58-7
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",INCLUDE,"2,4,6-tribromo-phenol",118-79-6
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",INCLUDE,Pentabromo-phenol,608-71-9
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",INCLUDE,"2,4,6-Tribromo-phenyl-allyl-ether",3278-89-5
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",INCLUDE,"Tribromo-phenyl-allyl-ether, unspecified",26762-91-4
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",INCLUDE,Bis(methyl)tetrabromo-phthalate,55481-60-2
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",INCLUDE,Bis(2-ethylhexyl)tetrabromo-phthalate,26040-51-7
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",INCLUDE,2-Hydroxy-propyl-2-(2-hydroxy-ethoxy)-ethyl-TBP,20566-35-2
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",INCLUDE,"TBPA, glycol-and propylene-oxide esters",75790-69-1
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",INCLUDE,"N,N��-Ethylene �Cbis-(tetrabromo-phthalimide)",32588-76-4
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",INCLUDE,"Ethylene-bis(5,6-dibromo-norbornane-2,3-dicarboximide)",52907-07-0
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",INCLUDE,"2,3-Dibromo-2-butene-1,4-diol",3234-02-4
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",INCLUDE,Dibromo-neopentyl-glycol,3296-90-0
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",INCLUDE,Dibromo-propanol,96-13-9
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",INCLUDE,Tribromo-neopentyl-alcohol,36483-57-5
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",INCLUDE,Poly tribromo-styrene,57137-10-7
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",INCLUDE,Tribromo-styrene,61368-34-1
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",INCLUDE,Dibromo-styrene grafted PP,171091-06-8
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",INCLUDE,Poly-dibromo-styrene,31780-26-4
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",INCLUDE,Bromo-/Chloro-paraffins,68955-41-9
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",INCLUDE,Bromo-/Chloro-alpha-olefin,82600-56-4
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",INCLUDE,Vinylbromide,593-60-2
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",INCLUDE,"Tris-(2,3-dibromo-propyl)-isocyanurate",52434-90-9
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",INCLUDE,"Tris(2,4-Dibromo-phenyl) phosphate",49690-63-3
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",INCLUDE,Tris(tribromo-neopentyl) phosphate,19186-97-1
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",INCLUDE,Chlorinated and brominated phosphate ester,125997-20-8
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",INCLUDE,Pentabromo-toluene,87-83-2
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",INCLUDE,Pentabromo-benzyl bromide,38521-51-6
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",INCLUDE,"1,3-Butadiene homopolymer,brominated",68441-46-3
